"age","estimate","ci_low","ci_high","ethnicity","measure","outcome"
"0-14",0.218659004132564,-0.744535893604954,1.23335847517789,"Other White","RII","poor GH"
"15-29",1.48817617658991,1.00101940082718,1.97894787094816,"Other White","RII","poor GH"
"30-44",1.90013433520148,1.57291554879666,2.18874793504849,"Other White","RII","poor GH"
"45-59",1.85413940267634,1.608867778865,2.09895665316059,"Other White","RII","poor GH"
"60-74",1.74443976163152,1.44231029867086,2.04503362982936,"Other White","RII","poor GH"
"75",0.697003211402439,0.378573953605503,1.02747518035684,"Other White","RII","poor GH"
"0-64",1.78485144838788,1.60105863945356,1.96125316982836,"Other White","RII","poor GH"
"all",1.42018894587249,1.26140691304457,1.5938788935357,"Other White","RII","poor GH"
"0-14",0.0426410168322399,-0.696082797495329,0.684483626167212,"White Polish","RII","poor GH"
"15-29",0.139473192528627,-0.784124644885762,1.02377874436637,"White Polish","RII","poor GH"
"30-44",0.638249120735371,0.0865883953822574,1.15655347811861,"White Polish","RII","poor GH"
"45-59",0.716804176788274,0.302995706851051,1.13672080436303,"White Polish","RII","poor GH"
"60-74",1.35407803646964,0.486603517196612,2.16469695077019,"White Polish","RII","poor GH"
"75",-0.0574633358263448,-0.792167278440226,0.723450922696213,"White Polish","RII","poor GH"
"0-64",0.633685441050442,0.290656630536121,0.943540375312438,"White Polish","RII","poor GH"
"all",0.540975843567756,0.119953958294388,0.958120782267851,"White Polish","RII","poor GH"
"0-14",1.2986941411687,1.16908065398508,1.40572297456195,"White Scottish","RII","poor GH"
"15-29",1.248919900366,1.18248619781072,1.3169515887444,"White Scottish","RII","poor GH"
"30-44",1.97860960795998,1.94430992044199,2.01178020060188,"White Scottish","RII","poor GH"
"45-59",2.04519307777376,2.0232366259571,2.06758632447456,"White Scottish","RII","poor GH"
"60-74",1.6761733880423,1.65421200908086,1.69869620283743,"White Scottish","RII","poor GH"
"75",0.933962447127615,0.907997713614426,0.961429156399756,"White Scottish","RII","poor GH"
"0-64",1.95177804267441,1.93511696169509,1.96861711775244,"White Scottish","RII","poor GH"
"all",1.63460406136211,1.62208652902802,1.64811657808231,"White Scottish","RII","poor GH"
"0-14",1.33020343977217,1.22417251357852,1.44059417876737,"White (total)","RII","poor GH"
"15-29",1.28454190041395,1.22355866905061,1.34802925398514,"White (total)","RII","poor GH"
"30-44",2.0202431665442,1.98767310493134,2.05266742958502,"White (total)","RII","poor GH"
"45-59",2.07621183750169,2.05251898452037,2.09770833322334,"White (total)","RII","poor GH"
"60-74",1.70610286987661,1.68273357395923,1.72651110292993,"White (total)","RII","poor GH"
"75",0.927570933187931,0.901522061935281,0.953100073389815,"White (total)","RII","poor GH"
"0-64",1.99097853934828,1.97457802840406,2.00655415898993,"White (total)","RII","poor GH"
"all",1.65395927344581,1.64170504103675,1.66619819328683,"White (total)","RII","poor GH"
"0-14",3.56398565425195,2.48301932172777,4.35900785036131,"Chinese","RII","poor GH"
"15-29",1.55028595602047,0.618931398876087,2.57223508722391,"Chinese","RII","poor GH"
"30-44",2.27226126516497,1.58732745960945,2.87312723025654,"Chinese","RII","poor GH"
"45-59",1.05205898902726,0.495366803458301,1.63034744446034,"Chinese","RII","poor GH"
"60-74",0.562234088823583,-0.0415134540030776,1.14492111035586,"Chinese","RII","poor GH"
"75",0.0801792144317125,-0.600239035002745,0.749390103609646,"Chinese","RII","poor GH"
"0-64",1.37820080484547,0.934414589884352,1.84100091781514,"Chinese","RII","poor GH"
"all",0.630835043488998,0.271240887454241,1.00546860457814,"Chinese","RII","poor GH"
"0-14",1.54700927216539,0.351597175616242,2.83207175454318,"Mixed","RII","poor GH"
"15-29",0.612046959385505,-0.427635073803333,1.81061797213063,"Mixed","RII","poor GH"
"30-44",1.29600658663746,0.705316422876289,1.95269668905715,"Mixed","RII","poor GH"
"45-59",1.54285943390448,0.796583365569107,2.21597148640642,"Mixed","RII","poor GH"
"60-74",1.28868048240571,0.573666958404244,2.03995795539003,"Mixed","RII","poor GH"
"75",-0.227212436639786,-1.65095363182298,1.17911906988381,"Mixed","RII","poor GH"
"0-64",1.49832825422645,1.04764519680283,1.93817821516429,"Mixed","RII","poor GH"
"all",1.00403514278823,0.597378879366933,1.45220636792,"Mixed","RII","poor GH"
"0-14",0.50651875465842,-0.718354547199821,1.74496860472344,"Other","RII","poor GH"
"15-29",1.5540185353106,0.3356058626871,2.65547997439803,"Other","RII","poor GH"
"30-44",1.45198587801543,0.815000032443151,2.02932802145651,"Other","RII","poor GH"
"45-59",1.83546561263416,1.31261229511152,2.38968834620483,"Other","RII","poor GH"
"60-74",1.92648778837099,1.07764029772048,2.71177333365199,"Other","RII","poor GH"
"75",-0.112951168106688,-1.18643343158675,1.08636066282125,"Other","RII","poor GH"
"0-64",1.77958465361546,1.41493792351441,2.15913405366859,"Other","RII","poor GH"
"all",1.23638770452383,0.800243897407296,1.69744534884809,"Other","RII","poor GH"
"0-14",2.53776295879181,-5.54832632427664,10.1447125124386,"African","SII","poor GH"
"15-29",5.6626095597154,0.830410647925302,10.1896097138253,"African","SII","poor GH"
