"ses","age","rate","CI_low","CI_high","ethnicity","outcome"
"2","60-74",127.745738089404,89.5635965556608,165.927879623147,"Indian","poor GH"
"2","75",227.549123071511,143.265297137323,311.832949005699,"Indian","poor GH"
"3","0-14",2.63289869608826,0.0527053864505311,5.213092005726,"Indian","poor GH"
"3","15-29",5.71888150052421,2.82478132737062,8.61298167367779,"Indian","poor GH"
"3","30-44",16.2632279145504,9.88815971757338,22.6382961115275,"Indian","poor GH"
"3","45-59",62.8662762126401,42.6097502336651,83.1228021916151,"Indian","poor GH"
"3","60-74",142.336694060832,93.7734158440209,190.899972277643,"Indian","poor GH"
"3","75",209.810874704492,122.138101320938,297.483648088046,"Indian","poor GH"
"4","0-14",4.11193890248106,0.507731768982683,7.71614603597944,"Indian","poor GH"
"4","15-29",6.28613064009985,2.57133308671451,10.0009281934852,"Indian","poor GH"
"4","30-44",18.5372089129753,11.27075654431,25.8036612816407,"Indian","poor GH"
"4","45-59",101.77015481981,73.5614254659234,129.978884173697,"Indian","poor GH"
"4","60-74",145.589062538215,94.3388118949188,196.839313181511,"Indian","poor GH"
"4","75",187.791375291375,89.4220447697249,286.160705813026,"Indian","poor GH"
"5","0-14",7.863134047425,1.57143203725339,14.1548360575966,"Indian","poor GH"
"5","15-29",2.93598826438486,0.362528371783215,5.5094481569865,"Indian","poor GH"
"5","30-44",21.6813911792673,13.1824420100497,30.180340348485,"Indian","poor GH"
"5","45-59",142.069063801863,106.121291312518,178.016836291209,"Indian","poor GH"
"5","60-74",175.1443001443,109.080702994952,241.207897293649,"Indian","poor GH"
"5","75",209.405834405834,106.798861008836,312.012807802833,"Indian","poor GH"
"overall","0-14",3.86908847749723,2.35243366371853,5.38574329127592,"Indian","poor GH"
"overall","15-29",4.29302282174706,3.07854197645896,5.50750366703516,"Indian","poor GH"
"overall","30-44",15.678659043226,12.9410480619507,18.4162700245012,"Indian","poor GH"
"overall","45-59",70.7942885864551,61.8190218880189,79.7695552848913,"Indian","poor GH"
"overall","60-74",118.629286677482,101.299079386593,135.959493968371,"Indian","poor GH"
"overall","75",209.011288721434,171.615111346317,246.40746609655,"Indian","poor GH"
"1","0-64",15.2831755836777,12.0531016133112,18.5132495540443,"Indian","poor GH"
"2","0-64",29.0689485868898,23.4551244630104,34.6827727107692,"Indian","poor GH"
"3","0-64",29.3038041565042,23.3158539462463,35.291754366762,"Indian","poor GH"
"4","0-64",39.4463676831911,31.6760725923502,47.2166627740319,"Indian","poor GH"
"5","0-64",51.0000352537551,41.1026954417856,60.8973750657245,"Indian","poor GH"
"overall","0-64",28.6254357206175,26.0699310567569,31.1809403844781,"Indian","poor GH"
"1","all",43.3222948499216,36.7120496002949,49.9325400995484,"Indian","poor GH"
"2","all",60.4296695868415,51.124146232998,69.7351929406849,"Indian","poor GH"
"3","all",60.0121496434815,49.9261761989027,70.0981230880602,"Indian","poor GH"
"4","all",67.3444117466647,56.0261378212544,78.6626856720751,"Indian","poor GH"
"5","all",83.0860772853217,69.2736836670265,96.898470903617,"Indian","poor GH"
"overall","all",57.4821357010034,53.33495646236,61.6293149396468,"Indian","poor GH"
"1","0-14",1.78108808290155,-0.687328702695345,4.24950486849845,"Other Asian","poor GH"
"1","15-29",4.78055577964768,1.23913557321714,8.32197598607823,"Other Asian","poor GH"
"1","30-44",11.0916505285175,6.23060967829561,15.9526913787393,"Other Asian","poor GH"
"1","45-59",43.6351242308459,28.5166028439702,58.7536456177215,"Other Asian","poor GH"
"1","60-74",95.8295580388604,58.265061556749,133.394054520972,"Other Asian","poor GH"
"1","75",111.89040646405,29.00235649202,194.77845643608,"Other Asian","poor GH"
"2","0-14",2.40825688073395,-0.929355540291654,5.74586930175954,"Other Asian","poor GH"
"2","15-29",5.20204958872527,1.80343964216096,8.60065953528959,"Other Asian","poor GH"
"2","30-44",10.1692624721939,4.84237491020372,15.4961500341841,"Other Asian","poor GH"
"2","45-59",56.4786187767981,35.1751523474143,77.7820852061819,"Other Asian","poor GH"
"2","60-74",169.129895445685,106.484456625287,231.775334266083,"Other Asian","poor GH"
"2","75",200.617283950617,40.0929737844161,361.141594116819,"Other Asian","poor GH"
"3","0-14",8.02723790897608,1.60422787462854,14.4502479433236,"Other Asian","poor GH"
"3","15-29",3.29860939033214,0.659220667368667,5.93799811329561,"Other Asian","poor GH"
"3","30-44",12.1431635551115,6.5334112848673,17.7529158253558,"Other Asian","poor GH"
"3","45-59",59.4366571572692,39.4581511619298,79.4151631526087,"Other Asian","poor GH"
"3","60-74",69.5880408799069,26.4577188347339,112.71836292508,"Other Asian","poor GH"
"3","75",303.751803751804,124.249257270259,483.254350233349,"Other Asian","poor GH"
"4","0-14",8.80600848952495,3.052855327184,14.5591616518659,"Other Asian","poor GH"
